Status,Product Name,Price Plans,Product Code,Category,Change Plan Scope,Availability Start,Availability End,Service,Device Type,Modified On,Modified By
Active,Ava Smith,2,PROD1702,AI,Within Product,25/08/2026,Evergreen,-,-,25/08/2026 09:54:10,Mark Mackay
Active,Noah Brown,2,PROD202,Email,Within Product,02/12/2025,Evergreen,-,-,01/01/2026 00:10:18,SYSTEM
Active,Liam Taylor,6,PROD709,Cloud Voice - Demo AR,Within Product,08/03/2026,Evergreen,Voice Activation,-,20/07/2026 10:58:33,Mark Mackay
Active,Mia Wilson,3,EERO7,Router,Within Product,27/11/2025,Evergreen,ACTIVATE_EERO,-,12/03/2026 12:16:14,Mark Mackay
Active,Ethan Lee,2,PROD1202,Usage,Within Product,18/06/2026,Evergreen,-,-,22/06/2026 14:47:38,Mark Mackay
Active,Emma Martin,8,PROD4,Residential Broadband,Within Product,21/11/2025,Evergreen,Internet Activation,-,15/06/2026 12:44:41,Voyager Team
Active,Lucas Davis,5,PROD708,Cloud Voice - Demo AR,Within Product,08/03/2026,Evergreen,Voice Activation,-,09/03/2026 11:08:17,Voyager Team
Active,Olivia Thomas,2,PROD302,Messaging,Within Product,03/12/2025,Evergreen,-,-,03/07/2026 20:15:02,Mark Mackay
